practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,shownum_red,shownum_green,answer_red,answer_green,correct_red,correct_green,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,1,None,None,False,False,880963,001,2022-07-29_16h01.12.294,cpt,2022.2.2,59.98757057151896,
,,,,,,,,0,3,,,,,,,,,,,
